extraction_row_id,source_page,raw_part_number,raw_designation,evidence_snippet,validation_status,review_decision_active,corrected_part_number,corrected_designation,rationale
1d6baa17-ee31-4e82-b1a9-93ae21ad8a8f,4,"326-1643","","326-1643",REJECTED,"","","",""
7ba0e7de-45f4-4021-aec2-3fa3e583658d,4,"1 11812 Kurbelgeh�useentl�ftungs- 326-4689","","1 11812 Kurbelgeh�useentl�ftungs- 326-4689",NEEDS_REVIEW,"","","",""
c6b772c2-5d98-44c5-b2f5-c6e735bc9dfe,4,"filter","","filter",REJECTED,"","","",""
cec224b3-6a05-4944-bbb3-d00c31e01e84,4,"Crankcase breather filter","","Crankcase breather filter",NEEDS_REVIEW,"","","",""
31b1744f-8e6e-4841-a557-5443fe1c5fee,4,"1 1005 Blockkugelhahn","","1 1005 Blockkugelhahn",NEEDS_REVIEW,"","","",""
6435ac4f-92d9-4b44-960a-ad2b6fdd727f,4,"Ball valve","","Ball valve",REJECTED,"","","",""
9f0206d6-1343-426e-9ee3-203233d2c7f7,4,"","�" IG","�\" IG",REJECTED,"","","",""
20970ebb-151e-4b63-a88c-8b3690c1c8a8,4,"Abgasnachbehandlungsmodul","","Abgasnachbehandlungsmodul",NEEDS_REVIEW,"","","",""
0ac4e049-480c-4100-a097-94b1dbae689a,4,"CEM, Clean Emission Module","","CEM, Clean Emission Module",NEEDS_REVIEW,"","","",""
303c1048-7f53-4478-8e2e-2117a280f307,4,"AR-EXH Part-no.: 565-2267-00","","AR-EXH Part-no.: 565-2267-00",NEEDS_REVIEW,"","","",""
6054c8a6-18c0-4054-a7f1-56a2f5c85e6b,4,"4 789","","4 789",REJECTED,"","","",""
0bd32c87-a485-4178-82af-35f67786b822,4,"Maschinenfu� f�r Motor","","Maschinenfu� f�r Motor",NEEDS_REVIEW,"","","",""
5793c3e5-69b2-4e84-b92b-063523cc9959,4,"VECFQ-60N-15050116","","VECFQ-60N-15050116",NEEDS_REVIEW,"","","",""
816f7df9-fbdc-4d4a-a182-1f8479718df7,4,"Rubber mounts for engine 168 x 50 x M16, 60 Sh","","Rubber mounts for engine 168 x 50 x M16, 60 Sh",NEEDS_REVIEW,"","","",""
21a2fafa-d326-4040-afea-d0d377717ae8,4,"Mehr Informationen finden Sie im CAT-Handbuch. More information can be found in the CAT manual.","","Mehr Informationen finden Sie im CAT-Handbuch. More information can be found in the CAT manual.",NEEDS_REVIEW,"","","",""
842479bc-60dd-4887-9591-80a3c7121dba,4,"Bemerkung / Seriennummer Comment / serial number","","Bemerkung / Seriennummer Comment / serial number",NEEDS_REVIEW,"","","",""
9262c73d-fcf7-47bf-a529-e6a31f724614,4,"S/N NGH03553 V","","S/N NGH03553 V",NEEDS_REVIEW,"","","",""
8ef6fd20-5b4d-4372-b79e-eea7c76a0ced,4,"","V V V V","V V V V",REJECTED,"","","",""
802ef1aa-7419-4732-bda1-91c2d4243ba3,4,"Kraftstoffzufuhr Fuel supply","","Kraftstoffzufuhr Fuel supply",NEEDS_REVIEW,"","","",""
6474defb-220d-431d-9637-2a804a5ec970,4,"S/N","","S/N",REJECTED,"","","",""
dba0b10e-d021-46e2-88e5-6c4c28fb0001,4,"CZS256866A V","","CZS256866A V",NEEDS_REVIEW,"","","",""
66b67a83-2112-4f1f-afdd-515de96aab71,9,"1 228","","1 228",REJECTED,"","","",""
a92982bc-bdea-44d7-8798-20504a66153e,4,"HAMMEL Recyclingtechnik GmbH","","HAMMEL Recyclingtechnik GmbH",NEEDS_REVIEW,"","","",""
